Name,Park,Location,Opening Date,Length,Height,Drop,Speed,Inversions,Vertical Angle,Duration,RCDB Link
"Scenic Railway","Luna Park","Melbourne, Victoria, Australia",1912,,,,,0,,,https://rcdb.com/1136.htm
"Rutschebanen","Tivoli Gardens","Copenhagen, Sjælland, Denmark",1914,2362.2,39.3,,37.3,0,,2:10,https://rcdb.com/1054.htm
"Jack Rabbit","Kennywood","West Mifflin, Pennsylvania, USA",1920,2132,40,70,45,0,45,1:36,https://rcdb.com/120.htm
"Jack Rabbit","Seabreeze","Rochester, New York, USA",1920,2130,75,,,0,,,https://rcdb.com/227.htm
"Scenic Railway","Dreamland","Margate, Kent, England, United Kingdom",7/3/1920,3000,40,,35,0,,,https://rcdb.com/875.htm
"Roller Coaster","Lagoon","Farmington, Utah, USA",1921,2500,62,,45,0,,,https://rcdb.com/196.htm
"Big Dipper","Blackpool Pleasure Beach","Blackpool, Lancashire, England, United Kingdom",7/1923,3300,60,,,0,,2:30,https://rcdb.com/790.htm
"Thunderbolt","Kennywood","West Mifflin, Pennsylvania, USA",1924,3250,70,90,55,0,,1:41,https://rcdb.com/122.htm
"Giant Dipper","Santa Cruz Beach Boardwalk","Santa Cruz, California, USA",5/17/1924,2640,70,65,55,0,,1:52,https://rcdb.com/204.htm
"Thunderhawk","Dorney Park & Wildwater Kingdom","Allentown, Pennsylvania, USA",5/18/1924,2767,80,65,45,0,,1:18,https://rcdb.com/239.htm
"Giant Dipper","Belmont Park","San Diego, California, USA",7/4/1925,2600,73,,55,0,,,https://rcdb.com/203.htm
"Racer","Kennywood","West Mifflin, Pennsylvania, USA",1927,4500,72.5,50,40,0,,1:32,https://rcdb.com/121.htm
"Wildcat","Lake Compounce","Bristol, Connecticut, USA",1927,2746,85,78,48,0,,1:15,https://rcdb.com/420.htm
"Cyclone","Luna Park","Brooklyn, New York, USA",6/26/1927,2850.3,85,,60,0,58.6,1:50,https://rcdb.com/222.htm
"Kiddy Coaster","Playland Park","Rye, New York, USA",1928,,,,,0,,,https://rcdb.com/232.htm
"Dragon Coaster","Playland Park","Rye, New York, USA",1929,3400,80,,,0,,2:00,https://rcdb.com/231.htm
"Legend","Arnolds Park","Arnolds Park, Iowa, USA",6/8/1930,,63,,,0,,,https://rcdb.com/347.htm
"Roller Coaster","Great Yarmouth Pleasure Beach","Great Yarmouth, Norfolk, England, United Kingdom",1932,3223.1,70,,45,0,,3:30,https://rcdb.com/811.htm
"Rutschebanen","Bakken","Klampenborg, Sjælland, Denmark",5/16/1932,2795.3,72.2,,34.2,0,,2:30,https://rcdb.com/1055.htm
